Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Running,2020-01-10T17:11:56Z,FALSE,Bruz Running,1.33,88,00:12:27,106,129,0.5,16,208,09:21:00,0:44,12,3,6.65,0,0,0,0,0,00:00:00,26,00:00:00,No,00:00:00,1,0
Running,2020-01-10T14:44:32Z,FALSE,Bruz Running,10.01,814,00:53:44,163,178,4.5,161,167,05:22:00,4:44,26,51,1.15,0,0,0,0,0,00:00:00,25,00:00:00,No,00:01:00,11,0
Running,2020-01-07T14:00:27Z,FALSE,Bruz Running,10.01,799,00:54:40,160,174,4.4,161,204,05:28:00,4:08,34,31,1.14,0,0,0,0,0,00:00:00,27,00:00:00,No,00:02:00,11,0
Running,2020-01-05T10:56:23Z,FALSE,Bruz Running,10.01,821,00:54:39,164,177,4.4,164,169,05:27:00,4:23,35,28,1.12,0,0,0,0,0,00:00:00,26,00:00:00,No,00:03:00,11,0
Running,2020-01-03T14:53:48Z,FALSE,Bruz Running,12.01,1024,01:05:59,166,180,4.7,162,210,05:30:00,4:43,27,38,1.12,0,0,0,0,0,00:00:00,26,00:00:00,No,00:02:00,13,0
Running,2019-12-31T11:55:37Z,FALSE,Bruz Running,10,789,00:54:49,156,169,3.9,162,169,05:29:00,4:05,34,34,1.13,0,0,0,0,0,00:00:00,21,00:00:00,No,00:01:00,11,0
Running,2019-12-28T15:06:08Z,FALSE,Flers Running,8,673,00:47:08,156,176,3.7,158,167,05:53:00,4:33,90,85,1.08,0,0,0,0,0,00:00:00,23,00:00:00,No,00:01:00,9,0
Running,2019-12-27T14:18:59Z,FALSE,Bruz Running,8,641,00:45:43,152,164,3.4,159,203,05:43:00,4:31,56,51,1.1,0,0,0,0,0,00:00:00,26,00:00:00,No,00:01:00,9,0
Running,2019-12-26T14:28:22Z,FALSE,Bruz Running,13.04,1097,01:16:36,157,172,4.4,153,167,05:52:00,4:31,83,79,1.12,0,0,0,0,0,00:00:00,27,00:00:00,No,00:13:00,14,0
Running,2019-12-22T15:24:21Z,FALSE,Bruz Running,9,716,00:51:04,152,167,3.7,158,169,05:41:00,4:46,29,46,1.12,0,0,0,0,0,00:00:00,22,00:00:00,No,05:20:00,9,0
Running,2019-12-19T15:32:14Z,FALSE,Bruz Running,8.01,656,00:44:32,159,174,4.2,159,167,05:33:00,4:55,29,22,1.13,0,0,0,0,0,00:00:00,23,00:00:00,No,00:04:00,9,0
Running,2019-12-17T13:05:42Z,FALSE,Bruz Running,5,384,00:28:04,149,159,3.2,158,166,05:37:00,4:54,27,27,1.13,0,0,0,0,0,00:00:00,24,00:00:00,No,00:00:00,6,0
Running,2019-12-15T15:03:28Z,FALSE,Bruz Running,12.01,955,01:12:20,150,161,3.6,158,215,06:01:00,5:08,37,37,1.05,0,0,0,0,0,00:00:00,22,00:00:00,No,00:02:00,13,0
