Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Running,2020-01-26T08:06:02Z,FALSE,San Francisco Running,10.31,948,01:01:22,165,186,4.6,147,167,5:57,3:58,33,47,1.15,0,0,0,0,0,--,--,--,00:00:00,00:00:00,25,00:00:00,No,01:44:00,11,0
Running,2020-01-24T07:38:57Z,FALSE,Aubervilliers Running,10.01,821,00:55:47,156,176,4.1,159,188,5:34,4:24,40,44,1.13,0,0,0,0,0,--,--,--,00:00:00,00:00:00,20,00:00:00,No,00:01:00,11,0
Running,2020-01-21T11:13:09Z,FALSE,Bruz Running,8.01,637,00:42:49,157,169,3.7,163,171,5:21,4:15,26,27,1.15,0,0,0,0,0,--,--,--,00:00:00,00:00:00,22,00:00:00,No,00:02:00,9,0
Running,2020-01-20T12:09:19Z,FALSE,Bruz Running,5.02,386,00:26:37,153,168,3.2,161,171,5:18,4:28,22,19,1.17,0,0,0,0,0,--,--,--,00:00:00,00:00:00,22,00:00:00,No,00:06:00,6,0
Running,2020-01-19T16:22:36Z,FALSE,Bruz Running,10.01,800,00:52:49,161,178,4.4,162,169,5:17,4:22,28,29,1.17,0,0,0,0,0,--,--,--,00:00:00,00:00:00,25,00:00:00,No,00:02:00,11,0
Running,2020-01-17T17:08:21Z,FALSE,Bruz Running,2.15,213,00:27:34,117,162,1.6,13,192,12:50,3:48,13,12,6.18,0,0,0,0,0,--,--,--,00:00:00,00:00:00,26,00:00:00,No,00:00:00,1,0
Running,2020-01-16T12:10:06Z,FALSE,Bruz Running,10.01,811,00:52:03,165,179,4.9,163,171,5:12,4:33,36,28,1.18,0,0,0,0,0,--,--,--,00:00:00,00:00:00,26,00:00:00,No,00:01:00,11,0
Running,2020-01-15T17:24:55Z,FALSE,Bruz Running,6.18,481,00:34:30,152,168,3.4,160,167,5:35,4:15,48,51,1.12,0,0,0,0,0,--,--,--,00:00:00,00:00:00,24,00:00:00,No,00:54:00,7,0
Indoor Rowing,2020-01-14T08:21:23Z,FALSE,Indoor Rowing,"5,012",170,00:22:18,146,154,2.3,--,--,2:13,--,--,--,0,0,0,0,0,0,349,--,--,00:00:00,00:00:00,26,00:00:00,No,00:00:00,1,0
Running,2020-01-12T15:44:56Z,FALSE,Bruz Running,15.01,1234,01:24:14,161,177,4.8,162,168,5:37,4:37,37,35,1.1,0,0,0,0,0,--,--,--,00:00:00,00:00:00,25,00:00:00,No,00:01:00,16,0
Running,2020-01-10T17:11:56Z,FALSE,Bruz Running,1.33,88,00:12:27,106,129,0.5,16,208,9:21,0:44,12,3,6.65,0,0,0,0,0,--,--,--,00:00:00,00:00:00,26,00:00:00,No,00:00:00,1,0
Running,2020-01-10T14:44:32Z,FALSE,Bruz Running,10.01,814,00:53:44,163,178,4.5,161,167,5:22,4:44,26,51,1.15,0,0,0,0,0,--,--,--,00:00:00,00:00:00,25,00:00:00,No,00:01:00,11,0
Running,2020-01-07T14:00:27Z,FALSE,Bruz Running,10.01,799,00:54:40,160,174,4.4,161,204,5:28,4:08,34,31,1.14,0,0,0,0,0,--,--,--,00:00:00,00:00:00,27,00:00:00,No,00:02:00,11,0
Cycling,2020-01-06T17:12:56Z,FALSE,Bruz Cycling,2.14,224,00:29:55,117,156,1.8,--,--,4.3,15.6,11,11,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,24,00:00:00,No,00:00:00,1,0
Running,2020-01-05T10:56:23Z,FALSE,Bruz Running,10.01,821,00:54:39,164,177,4.4,164,169,5:27,4:23,35,28,1.12,0,0,0,0,0,--,--,--,00:00:00,00:00:00,26,00:00:00,No,00:03:00,11,0
Running,2020-01-03T14:53:48Z,FALSE,Bruz Running,12.01,1024,01:05:59,166,180,4.7,162,210,5:30,4:43,27,38,1.12,0,0,0,0,0,--,--,--,00:00:00,00:00:00,26,00:00:00,No,00:02:00,13,0
Cycling,2020-01-02T14:06:09Z,FALSE,Bruz Cycling,17.20,617,00:52:19,137,166,3.0,--,--,19.7,27.7,49,48,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,17,00:00:00,No,07:14:00,4,0
Yoga,2020-01-01T18:13:17Z,FALSE,Yoga,0.00,16,00:07:45,64,92,0.0,--,--,--,--,--,--,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,30,00:00:00,No,00:00:00,1,0
Running,2019-12-31T11:55:37Z,FALSE,Bruz Running,10.00,789,00:54:49,156,169,3.9,162,169,5:29,4:05,34,34,1.13,0,0,0,0,0,--,--,--,00:00:00,00:00:00,21,00:00:00,No,00:01:00,11,0
Running,2019-12-28T15:06:08Z,FALSE,Flers Running,8.00,673,00:47:08,156,176,3.7,158,167,5:53,4:33,90,85,1.08,0,0,0,0,0,--,--,--,00:00:00,00:00:00,23,00:00:00,No,00:01:00,9,0
Running,2019-12-27T14:18:59Z,FALSE,Bruz Running,8.00,641,00:45:43,152,164,3.4,159,203,5:43,4:31,56,51,1.1,0,0,0,0,0,--,--,--,00:00:00,00:00:00,26,00:00:00,No,00:01:00,9,0
Running,2019-12-26T14:28:22Z,FALSE,Bruz Running,13.04,1097,01:16:36,157,172,4.4,153,167,5:52,4:31,83,79,1.12,0,0,0,0,0,--,--,--,00:00:00,00:00:00,27,00:00:00,No,00:13:00,14,0
Cycling,2019-12-23T15:06:01Z,FALSE,Bruz Cycling,9.64,353,00:33:04,129,153,2.2,--,--,17.5,26.4,39,33,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,22,00:00:00,No,16:01:00,2,0
Running,2019-12-22T15:24:21Z,FALSE,Bruz Running,9.00,716,00:51:04,152,167,3.7,158,169,5:41,4:46,29,46,1.12,0,0,0,0,0,--,--,--,00:00:00,00:00:00,22,00:00:00,No,05:20:00,9,0
Pool Swimming,2019-12-21T15:54:30Z,FALSE,Lap Swimming,"1,325",396,00:42:37,--,--,--,--,--,3:11,0:49,--,--,0,0,0,0,0,0,1335,73,32,00:00:00,00:00:00,27,00:00:00,No,00:39:00,9,0
Running,2019-12-19T15:32:14Z,FALSE,Bruz Running,8.01,656,00:44:32,159,174,4.2,159,167,5:33,4:55,29,22,1.13,0,0,0,0,0,--,--,--,00:00:00,00:00:00,23,00:00:00,No,00:04:00,9,0
Running,2019-12-17T13:05:42Z,FALSE,Bruz Running,5.00,384,00:28:04,149,159,3.2,158,166,5:37,4:54,27,27,1.13,0,0,0,0,0,--,--,--,00:00:00,00:00:00,24,00:00:00,No,00:00:00,6,0
Running,2019-12-15T15:03:28Z,FALSE,Bruz Running,12.01,955,01:12:20,150,161,3.6,158,215,6:01,5:08,37,37,1.05,0,0,0,0,0,--,--,--,00:00:00,00:00:00,22,00:00:00,No,00:02:00,13,0
Running,2019-12-13T13:32:03Z,FALSE,Bruz Running,8.17,683,00:47:23,159,171,3.8,160,167,5:48,4:28,22,36,1.08,0,0,0,0,0,--,--,--,00:00:00,00:00:00,23,00:00:00,No,00:58:00,9,0
Running,2019-12-10T15:48:11Z,FALSE,Bruz Running,8.03,674,00:45:49,160,181,4.1,161,167,5:42,4:52,30,28,1.09,0,0,0,0,0,--,--,--,00:00:00,00:00:00,23,00:00:00,No,00:08:00,9,0
Running,2019-12-08T10:02:46Z,FALSE,Vern-sur-Seiche Running,14.41,1331,01:29:58,163,179,5.0,155,168,6:15,5:05,128,151,1.03,0,0,0,0,0,--,--,--,00:00:00,00:00:00,26,00:00:00,No,02:31:00,15,0
Running,2019-12-05T17:49:18Z,FALSE,Bruz Running,6.01,497,00:35:28,152,178,3.5,153,169,5:54,4:47,32,31,1.11,0,0,0,0,0,--,--,--,00:00:00,00:00:00,24,00:00:00,No,00:05:00,7,0
Running,2019-12-02T14:54:10Z,FALSE,Bruz Running,8.23,692,00:46:28,161,175,4.2,159,167,5:39,4:24,27,34,1.11,0,0,0,0,0,--,--,--,00:00:00,00:00:00,24,00:00:00,No,01:18:00,9,0
Pool Swimming,2019-11-29T18:36:56Z,FALSE,Lap Swimming,750,213,00:26:29,--,--,--,--,--,3:30,3:05,--,--,0,0,0,0,0,0,847,81,32,00:00:00,00:00:00,28,00:00:00,No,00:00:00,1,0
Running,2019-11-28T16:34:56Z,FALSE,Bruz Running,11.04,910,01:07:33,150,175,3.9,157,166,6:07,5:19,32,43,1.04,0,0,0,0,0,--,--,--,00:00:00,00:00:00,26,00:00:00,No,00:12:00,12,0
Cycling,2019-11-27T15:22:47Z,FALSE,Bruz Cycling,15.14,487,00:45:30,130,155,2.3,--,--,20.0,28.2,40,31,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,19,00:00:00,No,00:40:00,4,0
Running,2019-11-26T15:10:19Z,FALSE,Bruz Running,6.00,500,00:38:03,149,165,3.3,156,168,6:20,4:49,23,26,1.01,0,0,0,0,0,--,--,--,00:00:00,00:00:00,27,00:00:00,No,00:01:00,7,0
Running,2019-11-25T14:44:49Z,FALSE,Bruz Running,6.05,446,00:33:44,148,170,3.2,158,168,5:34,4:38,24,23,1.14,0,0,0,0,0,--,--,--,00:00:00,00:00:00,23,00:00:00,No,00:20:00,7,0
Pool Swimming,2019-11-24T11:30:33Z,FALSE,Lap Swimming,825,250,00:28:25,--,--,--,--,--,3:13,1:05,--,--,0,0,0,0,0,0,828,73,31,00:00:00,00:00:00,27,00:00:00,No,00:00:00,1,0
Running,2019-11-21T15:44:09Z,FALSE,Bruz Running,10.15,815,00:59:58,156,170,4.0,158,166,5:54,4:37,42,33,1.07,0,0,0,0,0,--,--,--,00:00:00,00:00:00,27,00:00:00,No,00:56:00,11,0
Cycling,2019-11-21T08:22:35Z,FALSE,Bruz Cycling,2.58,86,00:12:06,106,134,0.4,--,--,12.8,22.7,19,9,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,20,00:00:00,No,00:00:00,1,0
Cycling,2019-11-20T14:37:24Z,FALSE,Bruz Cycling,19.06,627,01:01:16,133,158,2.4,--,--,18.7,37.1,95,53,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,15,00:00:00,No,12:41:00,4,0
Running,2019-11-19T14:09:51Z,FALSE,Bruz Running,10.01,798,00:58:46,155,172,3.7,159,166,5:52,5:06,33,31,1.07,0,0,0,0,0,--,--,--,00:00:00,00:00:00,24,00:00:00,No,00:06:00,11,0
Cycling,2019-11-19T08:14:37Z,FALSE,Bruz Cycling,2.17,83,00:10:00,114,138,0.7,--,--,13.0,23.2,21,13,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,24,00:00:00,No,00:00:00,1,0
Cycling,2019-11-18T11:08:09Z,FALSE,Bruz Cycling,1.06,32,00:03:48,113,127,0.2,--,--,16.7,24.1,4,6,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,21,00:00:00,No,00:00:00,1,0
